wavelength_nm,direct_dn,jar_dn
400,4.31,2.09
401,4.31,2.09
402,4.31,2.09
403,4.31,2.09
404,4.43,3.50
405,4.45,4.02
406,8.79,4.02
407,6.38,4.02
408,6.41,4.02
409,8.79,4.02
410,9.95,4.55
411,10.70,8.52
412,12.62,8.52
413,14.54,10.63
414,16.28,12.38
415,18.65,14.31
416,23.42,16.18
417,27.62,18.47
418,31.15,22.99
419,35.99,26.54
420,40.84,30.41
421,47.17,34.69
422,54.69,40.09
423,63.17,45.57
424,70.22,52.26
425,80.23,60.07
426,89.12,67.70
427,101.12,75.21
428,112.20,83.14
429,123.32,93.04
430,136.02,104.10
431,148.45,115.82
432,160.76,127.91
433,172.89,140.35
434,185.44,153.93
435,195.61,164.71
436,207.29,175.96
437,216.08,184.99
438,224.89,192.25
439,230.81,197.56
440,235.59,201.76
441,237.54,204.02
442,238.20,204.66
443,238.18,204.66
444,237.49,203.65
445,236.90,203.38
446,237.29,203.77
447,238.59,205.31
448,240.84,207.12
449,244.05,209.92
450,246.17,212.19
451,248.05,213.81
452,248.40,214.31
453,248.23,213.67
454,245.98,211.23
455,242.13,207.47
456,237.11,202.94
457,232.06,198.59
458,228.27,194.69
459,225.08,191.60
460,223.48,190.51
461,222.52,190.16
462,223.46,192.08
463,221.88,195.33
464,225.10,195.02
465,230.56,198.60
466,236.37,204.38
467,239.09,209.22
468,243.99,211.80
469,247.05,215.75
470,248.18,217.20
471,249.47,218.17
472,255.43,230.28
473,255.43,253.03
474,255.43,252.74
475,255.43,249.98
476,255.25,242.85
477,254.92,240.61
478,253.72,233.41
479,252.66,225.98
480,251.13,221.88
481,249.29,215.27
482,246.86,213.46
483,242.50,208.97
484,237.95,205.39
485,234.66,201.78
486,236.58,203.70
487,239.79,206.59
488,242.68,209.22
489,245.57,212.10
490,247.18,213.40
491,248.40,214.95
492,249.45,216.00
493,250.10,216.88
494,250.32,217.64
495,250.32,218.81
496,250.18,219.45
497,250.32,220.10
498,250.32,221.06
499,250.96,222.03
500,251.60,222.99
501,252.24,223.85
502,252.24,224.82
503,252.88,225.88
504,252.88,226.46
505,253.51,227.17
506,254.15,227.78
507,254.15,228.11
508,254.15,229.08
509,254.15,229.10
510,254.15,229.10
511,254.12,229.39
512,254.15,229.74
513,254.09,229.10
514,254.15,229.10
515,254.15,229.10
516,254.15,229.10
517,254.15,228.46
518,253.83,227.81
519,253.51,227.67
520,252.88,227.01
521,252.88,226.53
522,252.88,225.88
523,252.24,225.36
524,252.24,225.24
525,252.24,224.60
526,251.60,223.95
527,251.60,223.69
528,250.96,223.31
529,250.61,223.31
530,250.66,222.67
531,250.96,222.67
532,250.96,223.31
533,251.25,223.31
534,250.96,223.31
535,251.23,223.31
536,250.96,223.31
537,250.64,222.67
538,250.41,222.67
539,250.32,222.67
540,250.32,222.67
541,250.32,222.67
542,250.32,222.03
543,249.68,221.38
544,249.68,220.74
545,249.68,219.45
546,249.68,218.60
547,249.24,217.72
548,249.04,217.52
549,248.40,216.24
550,248.08,215.59
551,247.12,214.39
552,245.87,213.67
553,244.26,212.06
554,242.97,210.13
555,241.34,209.13
556,239.43,207.21
557,237.54,205.95
558,236.26,204.93
559,234.84,203.63
560,232.66,201.68
561,230.73,199.74
562,228.69,197.68
563,226.10,194.44
564,223.48,191.80
565,220.77,188.75
566,218.05,186.33
567,215.63,183.76
568,213.26,181.51
569,211.13,179.37
570,208.33,176.78
571,205.75,174.03
572,202.72,171.61
573,198.61,167.47
574,194.45,162.94
575,189.96,158.41
576,184.53,153.22
577,179.39,147.75
578,174.54,143.23
579,169.99,138.93
580,164.82,133.46
581,160.54,129.68
582,160.21,136.39
583,169.99,145.68
584,178.43,153.96
585,185.06,160.73
586,190.89,165.70
587,195.98,170.08
588,199.20,173.31
589,202.28,176.57
590,205.65,179.32
591,206.99,180.87
592,208.36,181.95
593,209.19,182.24
594,208.86,182.23
595,207.89,181.51
596,207.19,180.87
597,206.55,179.90
598,206.85,179.90
599,207.82,180.54
600,207.83,181.19
601,208.12,181.81
602,207.55,181.47
603,207.46,180.49
604,206.87,179.51
605,206.07,178.54
606,204.31,177.01
607,202.61,176.47
608,201.24,175.01
609,200.16,174.48
610,199.52,173.64
611,199.35,172.51
612,198.24,171.22
613,197.28,169.94
614,196.44,165.24
615,195.37,146.85
616,193.21,144.38
617,191.92,143.25
618,185.00,141.64
619,169.69,140.39
620,163.76,139.09
621,162.15,137.79
622,160.54,136.82
623,159.25,135.82
624,157.99,134.57
625,156.71,133.92
626,155.69,133.28
627,154.79,132.64
628,153.98,131.99
629,153.09,131.25
630,151.71,129.42
631,150.19,127.49
632,147.94,124.78
633,145.53,122.35
634,142.16,118.96
635,137.62,114.58
636,134.03,110.77
